country,state,city,ibgeID,deaths,totalCases,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases
Brazil,CE,Banabuiú,2301851,0,23,0.00000,126.39446,0.00000
Brazil,SP,Bananal,3504909,0,2,0.00000,18.27318,0.00000
Brazil,PB,Bananeiras,2501500,0,1,0.00000,4.69087,0.00000
Brazil,TO,Bandeirantes do Tocantins,1703057,0,1,0.00000,28.14523,0.00000
Brazil,PR,Bandeirantes,4102406,1,3,3.18806,9.56419,0.33333
Brazil,PA,Bannach,1501253,1,4,30.43214,121.72855,0.25000
Brazil,RN,Baraúna,2401453,0,7,0.00000,24.67047,0.00000
Brazil,MG,Barbacena,3105608,2,17,1.45653,12.38047,0.11765
Brazil,CE,Barbalha,2301901,0,8,0.00000,13.16201,0.00000
Brazil,SP,Barbosa,3505104,0,1,0.00000,13.50986,0.00000
Brazil,PA,Barcarena,1501303,5,46,4.01027,36.89445,0.10870
Brazil,RN,Barcelona,2401503,0,1,0.00000,25.01251,0.00000
Brazil,AM,Barcelos,1300409,3,27,10.90830,98.17468,0.11111
Brazil,SP,Bariri,3505203,0,1,0.00000,2.83575,0.00000
Brazil,SP,Barra Bonita,3505302,1,11,2.76809,30.44898,0.09091
Brazil,RJ,Barra Mansa,3300407,1,73,0.54226,39.58528,0.01370
Brazil,SC,Barra Velha,4202107,0,5,0.00000,17.14207,0.00000
Brazil,PB,Barra de Santana,2501575,0,2,0.00000,23.92631,0.00000
Brazil,AL,Barra de Santo Antônio,2700508,0,1,0.00000,6.27668,0.00000
Brazil,ES,Barra de São Francisco,3200904,1,8,2.23964,17.91713,0.12500
Brazil,AL,Barra de São Miguel,2700607,0,5,0.00000,60.08171,0.00000
Brazil,PB,Barra de São Miguel,2501708,0,1,0.00000,16.56726,0.00000
Brazil,BA,Barra do Choça,2902906,0,4,0.00000,12.65703,0.00000
Brazil,MA,Barra do Corda,2101608,1,29,1.13363,32.87535,0.03448
Brazil,MT,Barra do Garças,5101803,2,24,3.27804,39.33652,0.08333
Brazil,RJ,Barra do Piraí,3300308,3,38,2.98882,37.85841,0.07895
Brazil,BA,Barra do Rocha,2903102,0,3,0.00000,52.50263,0.00000
Brazil,SP,Barra do Turvo,3505401,0,2,0.00000,26.11307,0.00000
Brazil,SE,Barra dos Coqueiros,2800605,0,38,0.00000,124.97122,0.00000
Brazil,BA,Barra,2902708,0,2,0.00000,3.73288,0.00000
Brazil,PR,Barracão,4102604,0,1,0.00000,9.73236,0.00000
Brazil,PI,Barras,2201200,0,8,0.00000,16.99741,0.00000
Brazil,CE,Barreira,2301950,1,4,4.45931,17.83724,0.25000
Brazil,BA,Barreiras,2903201,0,2,0.00000,1.28668,0.00000
Brazil,AM,Barreirinha,1300508,1,42,3.12100,131.08205,0.02381
Brazil,MA,Barreirinhas,2101707,0,29,0.00000,46.37922,0.00000
Brazil,PE,Barreiros,2601409,1,7,2.34417,16.40920,0.14286
Brazil,SP,Barretos,3505500,4,68,3.27606,55.69297,0.05882
Brazil,SP,Barrinha,3505609,0,1,0.00000,3.04767,0.00000
Brazil,GO,Barro Alto,5203203,0,1,0.00000,8.95496,0.00000
Brazil,BA,Barro Preto,2903300,0,3,0.00000,53.65766,0.00000
Brazil,CE,Barro,2302008,0,2,0.00000,8.81834,0.00000
Brazil,TO,Barrolândia,1703107,0,3,0.00000,53.26705,0.00000
Brazil,CE,Barroquinha,2302057,0,7,0.00000,46.61384,0.00000
Brazil,RS,Barros Cassal,4302006,0,1,0.00000,8.92937,0.00000
Brazil,SP,Barueri,3505708,58,529,21.15383,192.93754,0.10964
Brazil,MA,Barão de Grajaú,2101509,0,1,0.00000,5.31350,0.00000
Brazil,MS,Bataguassu,5001904,0,2,0.00000,8.68659,0.00000
Brazil,AL,Batalha,2700706,1,3,5.48486,16.45459,0.33333
Brazil,PI,Batalha,2201507,0,5,0.00000,18.61712,0.00000
Brazil,SP,Batatais,3505906,1,2,1.59980,3.19959,0.50000
Brazil,MS,Batayporã,5002001,2,6,17.65381,52.96143,0.33333
Brazil,CE,Baturité,2302107,2,23,5.59441,64.33566,0.08696
Brazil,SP,Bauru,3506003,10,167,2.65380,44.31848,0.05988
Brazil,PB,Bayeux,2501807,6,68,6.19323,70.18993,0.08824
Brazil,RN,Baía Formosa,2401404,0,1,0.00000,10.78632,0.00000
Brazil,PB,Baía da Traição,2501401,0,4,0.00000,44.47904,0.00000
Brazil,SP,Bebedouro,3506102,0,8,0.00000,10.32311,0.00000
Brazil,CE,Beberibe,2302206,3,28,5.59984,52.26513,0.10714
Brazil,CE,Bela Cruz,2302305,1,44,3.06833,135.00660,0.02273
Brazil,GO,Bela Vista de Goiás,5203302,0,9,0.00000,30.02502,0.00000
Brazil,MG,Bela Vista de Minas,3106002,0,1,0.00000,9.75134,0.00000
Brazil,MA,Bela Vista do Maranhão,2101772,0,9,0.00000,80.29262,0.00000
Brazil,MS,Bela Vista,5002100,0,2,0.00000,8.12051,0.00000
Brazil,RJ,Belford Roxo,3300456,32,282,6.26338,55.19606,0.11348
Brazil,MG,Belmiro Braga,3106101,1,3,29.16302,87.48906,0.33333
Brazil,BA,Belmonte,2903409,1,2,4.28669,8.57339,0.50000
Brazil,MG,Belo Horizonte,3106200,26,973,1.03500,38.73300,0.02672
Brazil,PE,Belo Jardim,2601706,1,10,1.30823,13.08233,0.10000
Brazil,MG,Belo Oriente,3106309,0,1,0.00000,3.74532,0.00000
Brazil,MG,Belo Vale,3106408,1,1,12.96176,12.96176,1.00000
Brazil,PA,Belterra,1501451,0,2,0.00000,11.27904,0.00000
Brazil,MA,Belágua,2101731,0,5,0.00000,66.94337,0.00000
Brazil,PE,Belém de Maria,2601508,0,0,0.00000,0.00000,0.00000
Brazil,PA,Belém,1501402,347,3512,23.24577,235.27126,0.09880
Brazil,PI,Beneditinos,2201606,0,1,0.00000,9.55384,0.00000
Brazil,SC,Benedito Novo,4202206,0,3,0.00000,25.74665,0.00000
Brazil,PA,Benevides,1501501,8,59,12.75165,94.04339,0.13559
Brazil,AM,Benjamin Constant,1300607,7,67,16.28513,155.87195,0.10448
Brazil,RN,Bento Fernandes,2401602,0,2,0.00000,36.38348,0.00000
Brazil,RS,Bento Gonçalves,4302105,5,128,4.15096,106.26463,0.03906
Brazil,MA,Bequimão,2101905,0,11,0.00000,51.69173,0.00000
Brazil,SP,Bernardino de Campos,3506300,0,1,0.00000,8.97022,0.00000
Brazil,SP,Bertioga,3506359,2,3,3.16211,4.74316,0.66667
Brazil,PI,Bertolínia,2201705,0,1,0.00000,18.17851,0.00000
Brazil,AM,Beruri,1300631,4,33,20.32624,167.69145,0.12121
Brazil,MG,Betim,3106705,1,27,0.22761,6.14558,0.03704
Brazil,PI,Betânia do Piauí,2201739,0,1,0.00000,16.11604,0.00000
Brazil,PE,Betânia,2601805,1,4,7.86225,31.44901,0.25000
Brazil,PE,Bezerros,2601904,0,5,0.00000,8.22395,0.00000
Brazil,MG,Bicas,3106903,0,1,0.00000,6.89941,0.00000
Brazil,SC,Biguaçu,4202305,0,8,0.00000,11.68207,0.00000
Brazil,SP,Bilac,3506409,0,1,0.00000,12.44710,0.00000
Brazil,SP,Birigui,3506508,0,41,0.00000,33.16133,0.00000
Brazil,SP,Biritiba-Mirim,3506607,0,15,0.00000,46.01509,0.00000
Brazil,SC,Blumenau,4202404,2,297,0.55991,83.14693,0.00673
Brazil,ES,Boa Esperança,3201001,0,1,0.00000,6.65026,0.00000
Brazil,MG,Boa Esperança,3107109,0,11,0.00000,27.41296,0.00000
Brazil,PI,Boa Hora,2201770,0,1,0.00000,14.74709,0.00000
Brazil,CE,Boa Viagem,2302404,3,19,5.50762,34.88159,0.15789
Brazil,PR,Boa Vista da Aparecida,4103057,0,1,0.00000,13.17349,0.00000
Brazil,MA,Boa Vista do Gurupi,2101970,0,4,0.00000,43.07096,0.00000
Brazil,AM,Boa Vista do Ramos,1300680,0,12,0.00000,62.47722,0.00000
Brazil,RS,Boa Vista do Sul,4302253,1,6,35.93245,215.59468,0.16667
Brazil,BA,Boa Vista do Tupim,2903805,0,1,0.00000,5.38329,0.00000
Brazil,RR,Boa Vista,1400100,20,1049,5.00986,262.76699,0.01907
Brazil,AL,Boca da Mata,2701001,0,6,0.00000,21.99333,0.00000
Brazil,AM,Boca do Acre,1300706,0,98,0.00000,285.64766,0.00000
Brazil,SP,Bocaina,3506805,0,8,0.00000,64.88766,0.00000
